음식명,총내용량,열량(kcal)(1회제공량당),탄수화물(g)(1회제공량당),단백질(g)(1회제공량당),지방(g)(1회제공량당),당류(g)(1회제공량당),나트륨(mg)(1회제공량당),콜레스테롤(mg)(1회제공량당),포화지방산(g)(1회제공량당),트랜스지방(g)(1회제공량당)
꿩불고기,500,368.8,39.7,33.5,8.5,16.9,1264.31,106.18,1.9,0.1
닭갈비,400,595.61,44.9,45.9,25.8,21.2,1535.83,193.4,6,0.2
닭갈비,300,558.47,23.1,45.5,31.6,8.5,1016.94,217.67,11.3,0.3
닭꼬치,70,176.72,13.35,11.56,8.57,3.15,286.91,31.44,2.32,0.04
더덕구이,100,184,31.1,3.1,5.2,11.6,743.37,0.12,0.8,0
도미구이,250,397,2.1,61.1,16.5,0,1582.17,211.24,3.8,0.1
돼지갈비,100,240.32,8.1,19.5,14.4,4.5,404.66,49.34,4.7,0.1
병어구이,250,488,0.2,54.6,30.8,0,1567.94,198.51,8.9,0.2
불고기,150,395.29,7.8,34.4,25.2,7.9,560.71,68.85,6.6,0.4
붕장어소금구이,100,296.54,11.6,26,16.2,0.4,124.75,167.07,3.6,0.2
소양념갈비구이,300,989.15,26.2,60.1,71.6,13.9,1378.45,186.63,27.2,3.5
양념왕갈비,150,480.81,13.7,27.1,35.3,6.8,548.76,58.52,13,2.2
양념장어구이,150,433.35,8.8,30.77,30.56,4.18,704.64,215.24,7.11,0.27
임연수구이,250,494,3.5,53.8,29.4,0,1568.96,212.61,6.1,1.7
짚불구이곰장어,200,326.21,2.3,42.7,16.2,1.2,826.79,341.83,2.8,0.1
햄버그스테이크,200,457.7,20.76,26.96,29.65,5.33,950.22,70.28,9.41,0.32
황태구이,200,437.57,26.9,47.8,15.4,14.2,1135.33,211.58,2.4,0.1
훈제오리,250,797.14,12.08,43.06,64.07,0.27,1220.37,171,15.98,0.39
게국지,1100,415.25,31.7,44.9,12.1,10.8,4047.26,388.15,2,0.2
곰치국,1000,419.29,23.9,54.3,11.8,2.8,3802.06,476.47,1.4,0.1
굴국밥,650,683,88.4,42.4,17.8,0.3,1635.39,518.37,3.9,0.1
김치국,450,89,10.5,5.4,2.8,2.9,1642.08,0,0.3,0
떡만둣국,700,624.92,110.71,20.06,11.32,0.16,1980.19,122.42,3.44,0.08
만둣국,700,434.05,47.83,21.43,17.45,3.05,2367.99,94.52,4.24,0.05
맑은감자국,700,221,34.6,8.3,5.5,5.2,1712.29,5.46,0.2,0
매생이국,500,119,13.4,10,2.8,0.4,1420.3,6.62,0.6,0.1
무된장국,450,104,14.7,6.1,2.4,5.9,1741.46,0,0.3,0
미소된장국,150,38,2.8,2.8,1.8,0.7,517.03,0,0.2,0
바지락조개국,550,157,10.1,22,3.1,1.3,1596.17,89.36,0.6,0
뼈다귀해장국,1000,714,23.4,74.6,35.7,5.7,3088.21,321.72,14.3,0.1
선지해장국,1000,312,16.7,49.3,5.4,3.9,3074.53,230.52,2.7,0.1
소고기무국,400,123,7.8,14.2,4,3.5,1067.02,38.43,1.3,0.1
소고기미역국,650,151,7.7,18.1,5.3,0,1908.91,42.18,2,0.1
순대국,800,540.3,17.26,43.52,33.02,0,1504.04,246,10.98,0.16
시래기된장국,450,99,11,6.7,3.1,1.3,1523.66,0,0.3,0
올갱이국,600,144.26,13,13.7,4.2,1.6,2017.16,85.36,0.8,0
우거지해장국,600,154.38,13.5,11.9,5.9,2.5,2049.59,22.37,1.2,0
우렁된장국,500,245,19.2,24.6,7.7,3.6,2134.21,105.38,1.1,0
탕국,250,92.15,0.24,13.18,4.27,0.08,656.75,30.12,1.01,0.07
홍합미역국,650,167,11.6,19.7,4.7,0,2043.68,58.4,0.9,0
황태해장국,600,181.7,5.7,24.5,6.8,1.5,1533.09,150.3,1.1,0
고추잡채,200,256.77,26.17,10.99,12.01,2.09,828.55,39.26,2.11,0.08
난자완스,200,346.25,19.15,21.63,20.35,0.5,703.23,76.76,4.59,0.24
도토리묵말이,1300,462.39,89.7,6.8,8.5,6.3,3206.03,0,1.2,0
라조기,200,398.99,26.23,20.66,23.49,0.15,648.52,90.58,5.15,0.16
물회,700,529.36,55.3,34.4,18.9,20,2095.9,120.26,2.8,0.1
생선물회,800,577.97,82.5,34.3,12.3,52,2779.74,101.88,2,0
소고기샤브샤브,600,263.75,14.7,29.1,9.8,2.4,1122.4,76.02,3.7,0.3
오징어순대,350,466.86,58.3,45.7,5.6,0.4,1258.71,517.44,1.4,0
초당순두부,900,522.69,15.8,49.1,29.2,0.9,1203.36,0,3.8,0
